Parameter,Optical,RF (Ka-band)
Transmit Power (W),0.122,1.2
Transmit Power (dBW),-9.2,0.8
Tx Aperture/Antenna (cm),10.0,30.0
Rx Aperture/Antenna (cm),10.0,30.0
Tx Gain (dBi),106.1,37.8
Rx Gain (dBi),106.1,37.8
Frequency/Wavelength,193.5 THz / 1.55 um,32 GHz / 9.37 mm
Range (km),250,250
Free Space Loss (dB),-246.1,-170.5
Pointing Loss (dB),-3.0,-1.0
Other Losses (dB),-6.0,-3.0
Received Power (dBW),-52.0,-98.0
Required Power (dBW),-77.7,-100.9
Link Margin (dB),25.66,2.88
Pointing Accuracy Required,18.9 urad,2.183 deg
Beamwidth/Divergence,18.9 urad,2.183 deg
